2022-05-16 12:18:49.156 DEBUG 14240 --- [           main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: unknown
2022-05-16 12:18:49.172 DEBUG 14240 --- [kground-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2022-05-16 12:18:49.182 DEBUG 14240 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2022-05-16 12:18:49.183 DEBUG 14240 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2022-05-16 12:18:49.184 DEBUG 14240 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2022-05-16 12:18:49.184 DEBUG 14240 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2022-05-16 12:18:49.184 DEBUG 14240 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2022-05-16 12:18:49.279  INFO 14240 --- [           main] c.chicken.review.ReviewApplicationTests  : Starting ReviewApplicationTests on DESKTOP-00UBC0P with PID 14240 (started by ogmlw in C:\Users\ogmlw\eclipse-workspace\review)
2022-05-16 12:18:49.279 DEBUG 14240 --- [           main] c.chicken.review.ReviewApplicationTests  : Running with Spring Boot v2.1.9.RELEASE, Spring v5.1.10.RELEASE
2022-05-16 12:18:49.279  INFO 14240 --- [           main] c.chicken.review.ReviewApplicationTests  : No active profile set, falling back to default profiles: default
2022-05-16 12:18:49.280 DEBUG 14240 --- [           main] o.s.boot.SpringApplication               : Loading source class com.chicken.review.ReviewApplication
2022-05-16 12:18:49.311 DEBUG 14240 --- [           main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/C:/Users/ogmlw/eclipse-workspace/review/target/classes/application.properties' (classpath:/application.properties)
2022-05-16 12:18:49.312 DEBUG 14240 --- [           main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1ee4730
2022-05-16 12:18:49.332 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2022-05-16 12:18:49.347 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2022-05-16 12:18:49.396 DEBUG 14240 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ogmlw\eclipse-workspace\review\target\classes\com\chicken\review\config\ErrorConfiguration.class]
2022-05-16 12:18:49.398 DEBUG 14240 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ogmlw\eclipse-workspace\review\target\classes\com\chicken\review\config\StaticResourceConfiguration.class]
2022-05-16 12:18:49.400 DEBUG 14240 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ogmlw\eclipse-workspace\review\target\classes\com\chicken\review\config\TilesConfig.class]
2022-05-16 12:18:49.408 DEBUG 14240 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ogmlw\eclipse-workspace\review\target\classes\com\chicken\review\config\WebSecurityConfig.class]
2022-05-16 12:18:49.412 DEBUG 14240 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ogmlw\eclipse-workspace\review\target\classes\com\chicken\review\login\controller\UserController.class]
2022-05-16 12:18:49.416 DEBUG 14240 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\ogmlw\eclipse-workspace\review\target\classes\com\chicken\review\login\service\ReviewService.class]
2022-05-16 12:18:49.608 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.messages.basename' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.688 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.prefix' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.688 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.suffix' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.710 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.resources.chain.enabled' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.743 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.765 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.830 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.836 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:49.845 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.http.encoding.enabled' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:52.920 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
2022-05-16 12:18:52.979 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.prefix' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:52.979 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.suffix' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:53.039 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.resources.chain.enabled' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:53.060 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2022-05-16 12:18:53.066 DEBUG 14240 --- [           main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.chicken.review'. Automatic @Repository and @Entity scanning is enabled.
2022-05-16 12:18:53.067 DEBUG 14240 --- [           main] o.m.s.b.a.MybatisAutoConfiguration       : Searching for mappers annotated with @Mapper
2022-05-16 12:18:53.067 DEBUG 14240 --- [           main] o.m.s.b.a.MybatisAutoConfiguration       : Using auto-configuration base package 'com.chicken.review'
2022-05-16 12:18:53.135 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:53.160 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.http.encoding.enabled' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:53.163 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Overriding bean definition for bean 'characterEncodingFilter' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=reviewApplication; factoryMethodName=characterEncodingFilter; initMethodName=null; destroyMethodName=(inferred); defined in com.chicken.review.ReviewApplication] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration; factoryMethodName=characterEncodingFilter; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/servlet/HttpEncodingAutoConfiguration.class]]
2022-05-16 12:18:53.174 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'cloud.aws.region.static' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:53.174 DEBUG 14240 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'cloud.aws.region.static' in PropertySource 'configurationProperties' with value of type String
2022-05-16 12:18:53.206 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer'
2022-05-16 12:18:53.208 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'credentialsProvider'
2022-05-16 12:18:53.225 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2022-05-16 12:18:53.235 DEBUG 14240 --- [           main] org.apache.ibatis.logging.LogFactory     : Logging initialized using 'class org.apache.ibatis.logging.commons.JakartaCommonsLoggingImpl' adapter.
2022-05-16 12:18:53.242 DEBUG 14240 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [C:\Users\ogmlw\eclipse-workspace\review\target\classes\com\chicken\review\login\mapper\ReviewMapper.class]
2022-05-16 12:18:53.243 DEBUG 14240 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'reviewMapper' and 'com.chicken.review.login.mapper.ReviewMapper' mapperInterface
2022-05-16 12:18:53.243 DEBUG 14240 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'reviewMapper'.
2022-05-16 12:18:53.409 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2022-05-16 12:18:53.431 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2022-05-16 12:18:53.433 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata'
2022-05-16 12:18:53.433 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2022-05-16 12:18:53.434 DEBUG 14240 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
